wl,item,realized_words,ret_policy,fail_retained,decision_correct,which_correct
40,v5item30,40,0.3333333333333333,False,False,False
40,v5item32,54,1.0,True,True,True
40,v5item34,42,0.6666666666666666,False,False,False
40,v5item36,53,1.0,True,True,True
40,v5item37,55,1.0,True,True,True
40,v5item39,45,1.0,True,True,True
40,v5item41,44,0.6666666666666666,False,False,False
40,v5item44,43,1.0,True,True,True
40,v5item48,45,0.6666666666666666,True,True,True
40,v5item49,51,1.0,True,True,True
40,v5item53,53,1.0,True,True,True
40,v5item55,30,0.6666666666666666,True,True,True
60,v5item00,41,1.0,True,True,True
60,v5item01,45,1.0,True,True,True
60,v5item03,51,1.0,True,True,True
60,v5item06,45,1.0,True,True,True
60,v5item07,57,1.0,True,True,True
60,v5item09,49,1.0,True,True,True
60,v5item10,51,0.6666666666666666,True,True,True
60,v5item11,60,0.6666666666666666,True,True,True
60,v5item12,57,1.0,True,True,True
60,v5item15,60,0.6666666666666666,False,False,False
60,v5item19,63,1.0,True,True,True
60,v5item21,48,1.0,True,True,True
60,v5item22,41,1.0,True,True,True
60,v5item23,60,1.0,True,True,True
60,v5item24,55,0.6666666666666666,True,True,True
60,v5item25,49,1.0,True,True,True
60,v5item26,55,1.0,True,True,True
60,v5item27,64,1.0,True,True,True
60,v5item30,56,0.6666666666666666,False,False,False
60,v5item32,54,1.0,True,True,True
60,v5item34,55,0.6666666666666666,False,False,False
60,v5item36,55,1.0,True,True,True
60,v5item37,69,1.0,True,True,True
60,v5item39,48,1.0,True,True,True
60,v5item41,60,1.0,True,True,True
60,v5item44,61,1.0,True,True,False
60,v5item48,47,0.6666666666666666,True,True,True
60,v5item49,62,1.0,True,True,True
60,v5item53,60,1.0,True,True,True
60,v5item55,37,0.6666666666666666,True,True,True
80,v5item00,50,1.0,True,True,True
80,v5item01,57,1.0,True,True,True
80,v5item03,66,1.0,True,True,True
80,v5item06,58,1.0,True,True,True
80,v5item07,58,1.0,True,True,True
80,v5item09,52,1.0,True,True,True
80,v5item10,63,0.6666666666666666,True,True,True
80,v5item11,89,0.6666666666666666,True,True,True
80,v5item12,61,1.0,True,True,True
80,v5item15,83,1.0,True,True,True
80,v5item19,75,1.0,True,True,True
80,v5item21,57,1.0,True,True,True
80,v5item22,50,1.0,True,True,True
80,v5item23,66,1.0,True,True,True
80,v5item24,63,1.0,True,True,True
80,v5item25,68,1.0,True,True,True
80,v5item26,75,1.0,True,True,False
80,v5item27,67,1.0,True,False,True
80,v5item30,64,0.6666666666666666,False,False,False
80,v5item32,85,1.0,True,True,True
80,v5item34,58,1.0,True,True,True
80,v5item36,61,1.0,True,True,True
80,v5item37,75,1.0,True,True,True
80,v5item39,45,1.0,True,True,True
80,v5item41,67,1.0,True,True,True
80,v5item44,68,1.0,True,True,False
80,v5item48,60,1.0,True,True,True
80,v5item49,70,1.0,True,True,True
80,v5item53,54,1.0,True,True,True
80,v5item55,40,0.6666666666666666,True,True,True
